Show,MaxDepths,Run,Duration,Channels,Views,Likes
30 Rock Official,2,1,9.267,5,1190085,6399
30 Rock Official,9,2,52.70099999999999,10,4834495,40204
30 Rock Official,7,3,23.316999999999997,18,1625299,18219
30 Rock Official,4,4,21.366999999999997,15,23311184,212847
30 Rock Official,11,5,70.067,22,5016163,43143
30 Rock Official,8,6,32.15,12,4637814,35922
30 Rock Official,15,7,67.45,20,9589655,101780
30 Rock Official,2,8,10.017,14,1191201,8285
30 Rock Official,17,9,66.068,20,8600397,84307
30 Rock Official,16,10,59.901,25,15245453,132479
30 Rock Official,14,11,61.10099999999999,13,8559013,70550
30 Rock Official,7,12,28.317,11,2493031,26022
30 Rock Official,7,13,29.550999999999995,13,10633648,163460
30 Rock Official,3,14,6.167,13,1458571,13039
30 Rock Official,3,15,20.067,6,3193751,18703
30 Rock Official,3,16,11.216999999999999,5,1678774,13199
30 Rock Official,3,17,14.899999999999999,14,4731935,61236
30 Rock Official,1,18,0.0,16,1062020,15357
30 Rock Official,4,19,26.550000000000004,10,2440067,21014
30 Rock Official,1,20,0.0,2,5124123,34675
30 Rock Official,2,21,5.633,11,2569990,28147
30 Rock Official,16,22,66.868,17,10755898,80897
30 Rock Official,0,23,0.0,1,0,0
30 Rock Official,13,24,57.38499999999999,15,3208511,31437
30 Rock Official,5,25,17.967,13,2752548,22123
30 Rock Official,26,26,144.067,22,16669062,163969
30 Rock Official,6,27,21.983,10,5064670,55004
30 Rock Official,2,28,5.3,8,994894,12646
30 Rock Official,1,29,0.0,7,1009,16
30 Rock Official,4,30,24.351,12,12837180,81396
30 Rock Official,5,31,26.316,12,3328680,25086
30 Rock Official,9,32,33.885999999999996,12,5033562,39378
30 Rock Official,1,33,0.0,12,1062028,15357
30 Rock Official,1,34,0.0,13,1062028,15357
30 Rock Official,5,35,19.3,14,3259832,45191
30 Rock Official,10,36,48.068,13,12430631,119918
30 Rock Official,2,37,5.717,7,718806,5210
30 Rock Official,16,38,80.5,21,4341451,37198
30 Rock Official,4,39,9.733,17,902531,9507
30 Rock Official,10,40,60.3,14,2546831,22437
30 Rock Official,2,41,5.633,13,4750216,53567
30 Rock Official,12,42,54.91600000000001,17,4176350,36922
30 Rock Official,3,43,14.166999999999998,10,2313338,21048
30 Rock Official,3,44,9.85,13,6213531,42316
30 Rock Official,2,45,9.267,7,1190092,6399
30 Rock Official,3,46,24.85,8,3120363,27989
