Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Community most ICONIC moments (Season 1),BubbleFlix,21:43,7271,205,362875,430,2020-12-09T12:40:50Z,0,0.9725789192081327,7,1,21.717
Community 38 Greatest Quotes,MrGakn,06:35,58074,1128,3883772,2548,2017-05-22T01:06:50Z,0,0.9809465896422418,6,2,6.583
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,5127,27,133050,434,2021-05-19T00:00:13Z,0,0.9947613504074505,6,3,21.45
Remedial Chaos Theory | FULL EPISODE - Available For A Limited Time! | Community,Community,21:29,4415,17,67728,480,2021-07-02T17:00:10Z,1,0.9961642599277978,11,3,21.483
The BEST of Troy Barnes: Community S01 | LeoAshe.com,Leo Ashe,19:21,12711,176,984937,603,2020-01-09T19:02:54Z,2,0.9863428261038255,26,3,19.35
The Fake Gun Finale | Community,Community,04:40,9495,43,345438,416,2021-02-27T15:30:06Z,0,0.9954917173411617,6,4,4.667
Revealing Past Traumas | Community,Community,02:24,376,1,7400,63,2021-07-21T14:30:08Z,1,0.9973474801061007,14,4,2.4
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,5127,27,133050,434,2021-05-19T00:00:13Z,2,0.9947613504074505,29,4,21.45
The BEST of Pierce Hawthorne: Community S01 | LeoAshe.com,Leo Ashe,20:23,5460,107,460878,508,2020-01-10T02:41:42Z,3,0.9807795940362852,37,4,20.383
Ambushed By Glee Club | Community,Community,03:30,7504,68,757991,250,2020-01-15T09:30:00Z,0,0.9910195456946645,1,5,3.5
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,5127,27,133053,434,2021-05-19T00:00:13Z,1,0.9947613504074505,15,5,21.45
Community Writers' Favorite Moments | Community,Community,08:03,30404,169,1340980,1013,2020-01-20T09:30:02Z,2,0.9944722467536715,31,5,8.05
The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,210773,1099,4563769,11731,2020-05-18T21:00:11Z,3,0.9948129059054523,39,5,34.583
Episode #9 - 8 Podcasts and a Zoom Chat,The Darkest Timeline with Ken Jeong & Joel McHale,57:32,67533,345,1965079,4826,2020-05-09T20:27:14Z,4,0.994917351719261,49,5,57.533
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793314,1164,2021-05-26T03:45:33Z,0,0.9936014899816756,5,6,13.783
Community most ICONIC moments (Season 1),BubbleFlix,21:43,7271,205,362875,430,2020-12-09T12:40:50Z,0,0.9725789192081327,7,7,21.717
How (Not) To Revive A Show: Arrested Development vs. Community,Drew Gooden,20:12,154627,2730,3884807,9990,2018-09-12T19:35:53Z,0,0.9826509147988333,7,8,20.2
