Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Season 3 BLOOPERS | The Office US | Comedy Bites,Comedy Bites,10:05,119976,1584,10662953,2820,2019-11-18T17:00:08Z,0,0.986969397828233,2,1,10.083
Fire Drill - The Office US,The Office,04:57,481822,5490,25675010,20926,2017-08-14T16:00:04Z,0,0.988734116951768,1,2,4.95
Sensitivity Training - The Office,The Office,04:04,49136,676,3278951,345,2019-10-01T13:00:13Z,1,0.9864289729382478,19,2,4.067
Jim & Dwight's Party Planning - The Office US,The Office,08:19,131807,1894,10643244,4449,2018-04-07T16:00:04Z,2,0.9858340625724564,25,2,8.317
Dwight the Vampire Slayer - The Office,The Office,05:42,99202,1071,5404023,1199,2019-10-29T13:00:18Z,3,0.9893191586967579,39,2,5.7
Jim's Radio Prank on Dwight - The Office,The Office,04:47,135632,1272,6144371,2468,2019-12-10T14:00:08Z,4,0.990708817857769,52,2,4.783
The Wooden Mallard Prank - The Office US,The Office,05:20,28571,272,1444037,863,2020-07-23T17:00:11Z,5,0.9905696356134938,59,2,5.333
The Office | Every Cold Open (Season 6 Part 2),Peacock,17:20,9693,197,867686,302,2021-05-11T16:06:06Z,6,0.9800808897876643,67,2,17.333
The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,260130,7283,29655004,13076,2017-02-22T21:06:12Z,0,0.9727649740289365,8,3,32.25
Kevin Malone's Best Moments - The Office,NBC,11:22,6058,83,299919,249,2021-06-10T00:59:45Z,0,0.9864842859469142,9,4,11.367
Season 3 BLOOPERS | The Office US | Comedy Bites,Comedy Bites,10:05,119976,1584,10662953,2820,2019-11-18T17:00:08Z,0,0.986969397828233,3,5,10.083
The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,260131,7283,29655004,13076,2017-02-22T21:06:12Z,0,0.9727650758748607,3,6,32.25
"Killing Bin Laden, Hitler, and Toby - The Office US",The Office,02:29,117245,792,6301628,2838,2017-07-24T16:00:08Z,0,0.9932902395011733,9,7,2.483
The best Pranks Jim and Dwight,webspyder88,14:58,151985,5125,21202908,3730,2011-08-21T00:19:01Z,1,0.9673795429953536,14,7,14.967
Best of Creed - The Office US,The Office,12:13,204264,2244,15040008,11918,2017-07-29T16:00:02Z,0,0.9891335928874426,2,8,12.217
Halloween at Dunder Mifflin - The Office US,The Office,09:45,64270,779,3889397,3041,2017-10-31T08:00:00Z,1,0.9880244123660625,19,8,9.75
Valentine's Day At Dunder Mifflin - The Office US,The Office,10:02,70795,991,5818343,2130,2018-02-14T00:00:01Z,2,0.9861950798205779,26,8,10.033
Party Central - The Office US,The Office,10:06,31938,370,1826832,1681,2019-01-12T17:00:04Z,3,0.9885477281168751,39,8,10.1
Best of the Conference Room (PART 1) - The Office US,The Office,15:08,63849,1049,5172656,2300,2020-04-25T17:00:06Z,4,0.9838361736879411,52,8,15.133
Health And Safety - The Office US,The Office,14:49,81037,987,4656955,2926,2020-03-05T18:00:05Z,5,0.9879669365063883,63,8,14.817
The WHOLE Michael Scott Paper Company Story - The Office US,The Office,15:15,42633,751,3076993,1861,2019-11-09T20:00:09Z,6,0.982689470772635,72,8,15.25
Threat Level Midnight - Full Movie (EXCLUSIVE) - The Office US,The Office,24:45,451542,1982,9482084,24696,2019-12-10T19:00:04Z,7,0.9956297792399079,84,8,24.75
Making A Strangler - The Office US,The Office,10:03,170586,2424,9369675,9073,2018-03-16T16:08:34Z,8,0.9859892491763482,91,8,10.05
Threat Level Midnight - Full Movie (EXCLUSIVE) - The Office US,The Office,24:45,451542,1982,9482084,24696,2019-12-10T19:00:04Z,9,0.9956297792399079,99,8,24.75
