Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Ron Swanson and the Coffeepot Mystery - Parks and Recreation,Parks and Recreation,01:17,53486,252,1478610,1111,2020-04-28T13:00:25Z,0,0.9953105809669135,0,1,1.283
Best of Grumpy Ron Swanson - Parks and Recreation,Parks and Recreation,10:15,9375,135,679703,369,2021-03-09T17:00:02Z,0,0.9858044164037855,1,1,10.25
Jim's Pranks Against Dwight - The Office US,The Office,12:03,643310,9056,44195289,13780,2017-07-08T16:00:09Z,0,0.9861182219796862,2,1,12.05
"Ron, April and Andy's Wild Puzzle - Parks and Recreation",Parks and Recreation,05:49,29157,340,1917483,566,2020-02-04T14:00:14Z,0,0.9884734040749906,3,1,5.817
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768535,2320,2021-01-30T12:00:13Z,0,0.9905954051210102,4,1,11.1
So...who broke it? [We Bare Bears],soniana252,01:04,13676,133,273776,298,2019-01-18T22:28:42Z,0,0.990368600188283,5,1,1.067
April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites,Comedy Bites,09:32,12033,214,670391,395,2021-03-31T16:30:03Z,0,0.9825263329795052,6,1,9.533
Angry Jim | The Office U.S. | Comedy Bites,Comedy Bites,04:46,12404,123,502105,357,2021-07-09T16:30:01Z,0,0.9901812085894468,7,1,4.767
Jerry's Perfect Life (and Wife!) | Parks & Recreation | Comedy Bites,Comedy Bites,10:43,12384,100,726654,722,2021-03-24T17:30:04Z,0,0.9919897468760013,8,1,10.717
Christmas In Pawnee - Parks and Recreation,Parks and Recreation,10:06,12743,192,931362,318,2019-12-25T17:00:01Z,0,0.9851565519907228,9,1,10.1
WHO BROKE IT!? [Haikyuu!!],DnSama,01:07,200099,239,2119612,1558,2018-08-17T22:03:07Z,0,0.9988070161427188,10,1,1.117
So...who broke it? [We Bare Bears],Parks and Recreation,01:17,53486,252,1478610,1111,2020-04-28T13:00:25Z,1,0.9953105809669135,11,1,1.283
we bare bears as zodiac signs,awhmara-,05:04,7552,95,182008,567,2020-05-27T16:24:38Z,1,0.9875768275140578,12,1,5.067
[Undertale Short] Who Broke it? (Old),NomZali,01:07,2712,25,66992,73,2018-08-29T20:09:03Z,1,0.9908659115820241,13,1,1.117
Who Broke It? (Animatic),Georgia Graham,01:07,301,2,4588,16,2021-04-14T00:21:11Z,1,0.9933993399339934,14,1,1.117
Obey Me as We Bare Bears Mainly Brothers,Decent Daizy,05:08,1096,2,11218,35,2021-02-18T15:16:02Z,1,0.9981785063752276,15,1,5.133
So...Who Broke It [BTS ANIMATIC MEME],Iku Aldena,01:07,280388,1488,3538382,5943,2018-08-24T18:34:30Z,1,0.9947210830294172,16,1,1.117
WHO BROKE IT!? [Haikyuu!!],DnSama,01:07,200099,239,2119612,1558,2018-08-17T22:03:07Z,1,0.9988070161427188,17,1,1.117
who broke it ( among us animatic ),radical robotz,01:05,249,0,5288,12,2020-09-21T22:39:26Z,1,1.0,18,1,1.083
We Bare Bears | Cleaning Missile Activate | Cartoon Network,Cartoon Network UK,03:55,13828,1428,2395687,12,2019-01-18T16:00:05Z,1,0.9063974829575249,19,1,3.917
So... Who broke it ? / Koopalings,Marie • Officiel,:50,719,8,40470,75,2021-01-15T19:26:59Z,1,0.9889958734525447,20,1,0.833
Who Broke it - Wings of Fire Edition,Dragons & Doodles,01:12,24598,151,587161,1057,2021-02-14T23:03:31Z,1,0.9938987433835711,21,1,1.2
Ron Swanson and the Coffeepot Mystery - Parks and Recreation,Parks and Recreation,01:17,53486,252,1478610,1111,2020-04-28T13:00:25Z,0,0.9953105809669135,0,2,1.283
Best of Grumpy Ron Swanson - Parks and Recreation,Parks and Recreation,10:15,9375,135,679703,369,2021-03-09T17:00:02Z,0,0.9858044164037855,1,2,10.25
Jim's Pranks Against Dwight - The Office US,The Office,12:03,643310,9056,44195289,13780,2017-07-08T16:00:09Z,0,0.9861182219796862,2,2,12.05
April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites,Comedy Bites,09:32,12033,214,670391,395,2021-03-31T16:30:03Z,0,0.9825263329795052,3,2,9.533
"Ron, April and Andy's Wild Puzzle - Parks and Recreation",Parks and Recreation,05:49,29157,340,1917483,566,2020-02-04T14:00:14Z,0,0.9884734040749906,4,2,5.817
Jake Peralta actually being an amazing detective slash genius | Brooklyn Nine-Nine,Comedy Bites,09:45,39141,278,1297851,712,2021-06-14T16:30:04Z,0,0.9929475633577717,5,2,9.75
Angry Jim | The Office U.S. | Comedy Bites,Comedy Bites,04:46,12404,123,502105,357,2021-07-09T16:30:01Z,0,0.9901812085894468,6,2,4.767
Michael Scott Once Said… Your Favourite Michael Quotes | The Office | Comedy Bites,Comedy Bites,08:20,13320,112,452714,423,2021-06-18T16:30:04Z,0,0.9916617033948779,7,2,8.333
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768535,2320,2021-01-30T12:00:13Z,0,0.9905954051210102,8,2,11.1
Ron Swanson Saves Tom's Swagger - Parks and Recreation,Parks and Recreation,04:59,11551,191,941713,311,2020-05-11T20:23:46Z,0,0.9837336058593085,9,2,4.983
Jerry's Perfect Life (and Wife!) | Parks & Recreation | Comedy Bites,Comedy Bites,10:43,12384,100,726654,722,2021-03-24T17:30:04Z,0,0.9919897468760013,10,2,10.717
Ron Swanson Saves Tom's Swagger - Parks and Recreation,Parks and Recreation,01:17,53486,252,1478610,1111,2020-04-28T13:00:25Z,1,0.9953105809669135,11,2,1.283
Parks Department Eat Tom - Parks and Recreation,Parks and Recreation,04:51,24080,360,2135681,784,2018-10-04T13:00:09Z,1,0.9852700490998363,12,2,4.85
Jerry's Perfect Life (and Wife!) | Parks & Recreation | Comedy Bites,Comedy Bites,10:43,12384,100,726654,722,2021-03-24T17:30:04Z,1,0.9919897468760013,13,2,10.717
Ron's Gingerbread Fail - Parks and Recreation,Parks and Recreation,05:06,6241,87,378448,159,2020-12-24T17:00:00Z,1,0.986251580278129,14,2,5.1
Tom Haverford Business Ideas - Parks and Recreation,Parks and Recreation,10:10,5933,105,514723,240,2020-02-12T17:00:07Z,1,0.9826101358065584,15,2,10.167
Ron Swanson's Birthday Surprise - Parks and Recreation,Parks and Recreation,04:40,36999,447,2784481,811,2019-11-02T13:00:00Z,1,0.9880628104470437,16,2,4.667
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768535,2320,2021-01-30T12:00:13Z,1,0.9905954051210102,17,2,11.1
Tom's Bistro Disaster Run - Parks and Recreation,Parks and Recreation,04:35,6510,100,550045,236,2020-05-07T16:00:26Z,1,0.9848714069591528,18,2,4.583
"Ron, April and Andy's Wild Puzzle - Parks and Recreation",Parks and Recreation,05:49,29157,340,1917483,566,2020-02-04T14:00:14Z,1,0.9884734040749906,19,2,5.817
Another Best of Cold Opens - Parks and Recreation,Parks and Recreation,10:04,22245,478,2424250,465,2019-01-09T17:00:07Z,1,0.9789640452405052,20,2,10.067
Wholesome Pawnee - Parks and Recreation,Parks and Recreation,10:07,4508,50,255571,159,2019-09-11T15:29:30Z,1,0.9890302764370338,21,2,10.117
Tom Haverford Business Ideas - Parks and Recreation,Parks and Recreation,01:17,53486,252,1478610,1111,2020-04-28T13:00:25Z,2,0.9953105809669135,22,2,1.283
"Tom Haverford, Casanova - Parks and Recreation",Parks and Recreation,10:04,3148,58,232729,91,2019-05-08T16:00:00Z,2,0.9819089207735496,23,2,10.067
Educating Andy Dwyer - Parks and Recreation,Parks and Recreation,10:06,21183,341,1586053,628,2020-01-01T17:00:04Z,2,0.984157219847612,24,2,10.1
Leslie vs. Bobby: Pawnee City Council Debate - Parks and Recreation,Parks and Recreation,10:28,4722,71,297305,334,2019-12-10T14:00:05Z,2,0.985186730648863,25,2,10.467
Citizens Of Pawnee - Parks and Recreation,Parks and Recreation,10:12,15645,269,1209118,1041,2019-12-18T17:00:01Z,2,0.9830966444639939,26,2,10.2
20 Times That Tom Haverford Got OWNED - Parks and Recreation,Parks and Recreation,10:08,10702,241,880927,616,2019-10-30T16:45:00Z,2,0.9779767888147675,27,2,10.133
Guest Stars - Parks and Recreation,Parks and Recreation,10:02,14318,272,1062759,684,2019-05-01T16:00:02Z,2,0.9813570938999314,28,2,10.033
Best Pranks - Parks and Recreation,Parks and Recreation,10:21,4788,71,331301,136,2020-06-10T16:00:07Z,2,0.9853879399053304,29,2,10.35
Best of Barney Varmn - Parks and Recreation,Parks and Recreation,10:06,15281,112,735233,910,2019-08-07T15:45:00Z,2,0.9927239654388358,30,2,10.1
Tom's Bistro Disaster Run - Parks and Recreation,Parks and Recreation,04:35,6510,100,550045,236,2020-05-07T16:00:26Z,2,0.9848714069591528,31,2,4.583
