Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
So...who broke it? [We Bare Bears],soniana252,01:04,13676,133,273776,298,2019-01-18T22:28:42Z,0,0.990368600188283,5,1,1.067
We Bare Bears | Cleaning Missile Activate | Cartoon Network,Cartoon Network UK,03:55,13828,1428,2395687,12,2019-01-18T16:00:05Z,1,0.9063974829575249,19,1,3.917
Ron Swanson Saves Tom's Swagger - Parks and Recreation,Parks and Recreation,04:59,11551,191,941713,311,2020-05-11T20:23:46Z,0,0.9837336058593085,9,2,4.983
Tom Haverford Business Ideas - Parks and Recreation,Parks and Recreation,10:10,5933,105,514723,240,2020-02-12T17:00:07Z,1,0.9826101358065584,15,2,10.167
Best Pranks - Parks and Recreation,Parks and Recreation,10:21,4788,71,331301,136,2020-06-10T16:00:07Z,2,0.9853879399053304,29,2,10.35
Best Cold Opens - Parks and Recreation,Parks and Recreation,10:03,22304,267,1626195,549,2018-12-12T17:00:12Z,3,0.9881706614682557,38,2,10.05
The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,260091,7283,29651217,13075,2017-02-22T21:06:12Z,4,0.9727610014436706,45,2,32.25
The Best of the Cold Opens - Brooklyn Nine-Nine (Mashup),Brooklyn Nine-Nine,14:53,171022,2007,9970387,4125,2019-07-17T20:00:05Z,5,0.9884007883071624,60,2,14.883
Angry Jim | The Office U.S. | Comedy Bites,Comedy Bites,04:46,12404,123,502105,357,2021-07-09T16:30:01Z,0,0.9901812085894468,7,3,4.767
Jim vs. Ryan - The Office,The Office,07:33,68974,791,3886723,2364,2020-01-30T14:00:09Z,1,0.9886619365011109,14,3,7.55
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768535,2320,2021-01-30T12:00:13Z,0,0.9905954051210102,4,4,11.1
parks and rec but just the parts i resonate with,hayes,06:13,38395,199,660035,842,2020-12-18T20:15:03Z,1,0.9948437580971136,19,4,6.217
Educating Andy Dwyer - Parks and Recreation,Parks and Recreation,10:06,21183,341,1586053,628,2020-01-01T17:00:04Z,0,0.984157219847612,7,5,10.1
12 Office Pranks That Totally Flummoxed Dwight Schrute | The Office | COZI Dozen,COZI TV,11:37,140536,4866,13316375,3206,2019-03-28T20:18:22Z,1,0.9665341604654681,15,5,11.617
12 MORE Office Pranks That Totally Flummoxed Dwight Schrute | The Office | COZI Dozen,COZI TV,10:43,25812,917,2473073,763,2021-04-01T20:54:03Z,2,0.9656926933293427,26,5,10.717
Ron Swanson Pulls Out His Tooth - Parks and Recreation,Parks and Recreation,01:11,10431,73,560610,296,2019-09-03T13:00:07Z,0,0.9930502665651181,6,6,1.183
Ron Swanson's New Desk - Parks and Recreation,Parks and Recreation,03:37,46823,746,3850546,1588,2019-12-24T14:00:04Z,1,0.9843175177111144,18,6,3.617
Ron's Secret Hiding Place - Parks and Recreation,Parks and Recreation,03:08,19984,251,1769984,582,2019-07-27T15:45:01Z,2,0.9875957499382259,29,6,3.133
Ron Swanson Needs An Assistant - Parks and Recreation,Parks and Recreation,02:57,9893,109,784905,191,2019-07-29T15:45:02Z,3,0.9891021795640872,42,6,2.95
Digging Up Dirt - Parks and Recreation,Parks and Recreation,04:29,16627,202,1269568,564,2020-06-18T16:00:01Z,4,0.9879969100956681,52,6,4.483
Ron Swanson Saves Tom's Swagger - Parks and Recreation,Parks and Recreation,04:59,11551,191,941713,311,2020-05-11T20:23:46Z,5,0.9837336058593085,58,6,4.983
Ron Swanson VS Technology | Parks and Recreation | Comedy Bites,Comedy Bites,10:15,19815,357,1350768,692,2020-05-06T18:00:06Z,6,0.9823022010707912,75,6,10.25
PAWNEE VS THE FLU - Parks and Recreation,Parks and Recreation,10:09,16560,254,1006092,753,2020-03-12T17:00:09Z,7,0.9848935410967051,81,6,10.15
"Ron, April and Andy's Wild Puzzle - Parks and Recreation",Parks and Recreation,05:49,29157,340,1917483,566,2020-02-04T14:00:14Z,0,0.9884734040749906,3,7,5.817
April and Ben: Unexpected BESTIES | Comedy Bites,Comedy Bites,09:57,17354,124,751732,421,2021-02-17T17:30:03Z,1,0.9929053667467673,15,7,9.95
Every single meme from Parks And Recreation | Comedy Bites,Comedy Bites,10:02,15662,99,461757,338,2021-03-17T17:30:03Z,2,0.9937186726730537,25,7,10.033
Angry Jim | The Office U.S. | Comedy Bites,Comedy Bites,04:46,12405,123,502143,357,2021-07-09T16:30:01Z,0,0.9901819923371648,7,8,4.767
April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites,Comedy Bites,09:32,12033,214,670393,395,2021-03-31T16:30:03Z,1,0.9825263329795052,17,8,9.533
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768540,2320,2021-01-30T12:00:13Z,0,0.9905954051210102,3,9,11.1
Swanologues - The Best of Ron Swanson the only remaining one,VishalHussain,14:51,57343,1543,8780836,3096,2012-03-18T10:24:08Z,1,0.9737968277689094,19,9,14.85
"Ron, April and Andy's Wild Puzzle - Parks and Recreation",Parks and Recreation,05:49,29157,340,1917483,566,2020-02-04T14:00:14Z,0,0.9884734040749906,3,10,5.817
Ben Moves In With April and Andy - Parks and Recreation,Parks and Recreation,05:00,12974,173,984545,428,2019-12-05T17:00:02Z,1,0.9868411044344717,14,10,5.0
Digging Up Dirt - Parks and Recreation,Parks and Recreation,04:29,16627,202,1269568,564,2020-06-18T16:00:01Z,2,0.9879969100956681,25,10,4.483
Ron Swanson's Birthday Surprise - Parks and Recreation,Parks and Recreation,04:40,36999,447,2784489,811,2019-11-02T13:00:00Z,3,0.9880628104470437,43,10,4.667
Christmas In Pawnee - Parks and Recreation,Parks and Recreation,10:06,12743,192,931362,318,2019-12-25T17:00:01Z,4,0.9851565519907228,53,10,10.1
Leslie Knope: Master of Gifts - Parks and Recreation,Parks and Recreation,10:10,15169,158,779117,507,2021-01-18T17:00:15Z,5,0.989691394271547,59,10,10.167
Ron Swanson Gets Food Poisoning - Parks and Recreation,Parks and Recreation,03:28,20491,274,1491897,731,2020-04-23T13:00:26Z,6,0.986804719479894,69,10,3.467
Best Of The Shoeshine Stand - Parks and Recreation,Parks and Recreation,10:04,15043,234,1207165,421,2019-07-03T15:45:00Z,7,0.9846828565817897,86,10,10.067
The World According To Andy Dwyer - Parks and Recreation,Parks and Recreation,10:08,9505,119,569486,2,2020-06-24T16:00:11Z,8,0.9876350789692435,96,10,10.133
The Office Season 2 INTRO COMPILATION!,djthedadi,26:16,21734,1207,4612609,796,2013-02-03T03:44:25Z,9,0.9473867747700623,101,10,26.267
The Office | Every Cold Open (Season 3 Part 1),Peacock,14:36,17444,379,1538642,390,2021-01-20T17:49:14Z,10,0.978735341973854,110,10,14.6
April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites,Comedy Bites,09:32,12033,214,670393,395,2021-03-31T16:30:03Z,0,0.9825263329795052,2,11,9.533
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768540,2320,2021-01-30T12:00:13Z,1,0.9905954051210102,18,11,11.1
Jim's Pranks Against Dwight - The Office US,The Office,12:03,643311,9056,44195289,13780,2017-07-08T16:00:09Z,0,0.9861182432587792,3,12,12.05
Fire Drill - The Office US,The Office,04:57,481718,5489,25671480,20919,2017-08-14T16:00:04Z,1,0.988733741510282,17,12,4.95
WHO BROKE IT!? [Haikyuu!!],DnSama,01:07,200099,239,2119616,1558,2018-08-17T22:03:07Z,0,0.9988070161427188,5,13,1.117
[haikyuu!! animatic] what really happens at captain meetings,frenchchive,03:40,77452,77,800114,2715,2020-05-10T21:13:20Z,1,0.9990068232532343,14,13,3.667
Michael Scott Once Said… Your Favourite Michael Quotes | The Office | Comedy Bites,Comedy Bites,08:20,13320,112,452720,423,2021-06-18T16:30:04Z,0,0.9916617033948779,9,14,8.333
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768540,2320,2021-01-30T12:00:13Z,1,0.9905954051210102,14,14,11.1
Angry Jim | The Office U.S. | Comedy Bites,Comedy Bites,04:46,12407,123,502143,357,2021-07-09T16:30:01Z,0,0.9901835594573025,7,15,4.767
the office out of context for 6 minutes straight,save bandit,06:18,24529,156,489872,633,2020-06-21T15:49:15Z,1,0.9936803726959692,15,15,6.3
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768540,2320,2021-01-30T12:00:13Z,0,0.9905954051210102,4,16,11.1
snl moments that are the equivalent of antidepressants,adam,12:28,18015,293,689759,254,2021-05-23T08:42:26Z,1,0.9839960672929867,20,16,12.467
WHO BROKE IT!? [Haikyuu!!],DnSama,01:07,200099,239,2119616,1558,2018-08-17T22:03:07Z,0,0.9988070161427188,10,17,1.117
•|`HAIKYUU!! Tiktok competition•|`,Anime_stuff,15:36,20031,90,362313,596,2021-05-11T13:37:21Z,1,0.9955270612792605,20,17,15.6
parks and rec but the moments i audibly laughed at while watching,Remy,11:06,90374,858,2768540,2320,2021-01-30T12:00:13Z,0,0.9905954051210102,4,18,11.1
tiktoks that make me wheeze part 6,banana peel,43:42,161786,2737,5632212,6280,2021-02-01T20:25:28Z,1,0.9833640281298056,16,18,43.7
Angry Jim | The Office U.S. | Comedy Bites,Comedy Bites,04:46,12407,123,502143,357,2021-07-09T16:30:01Z,0,0.9901835594573025,7,19,4.767
Michael Is Dating Pam's Mom - The Office US,The Office,04:38,148105,1162,7856588,5969,2020-03-23T18:00:13Z,1,0.9922152920605358,20,19,4.633
WHO BROKE IT!? [Haikyuu!!],DnSama,01:07,200099,239,2119616,1558,2018-08-17T22:03:07Z,0,0.9988070161427188,10,20,1.117
Who Broke It | Genshin Impact Animatic,Zephyrine Gale,01:07,113140,168,1268931,1148,2020-12-02T02:50:27Z,1,0.9985173156352597,16,20,1.117
"Ron, April and Andy's Wild Puzzle - Parks and Recreation",Parks and Recreation,05:49,29157,340,1917487,566,2020-02-04T14:00:14Z,0,0.9884734040749906,2,21,5.817
April Ludgate: The Worst Assistant in the World | Parks & Recreation | Comedy Bites,Comedy Bites,09:32,12033,214,670393,395,2021-03-31T16:30:03Z,1,0.9825263329795052,16,21,9.533
Top 10 Improvised Lines from Parks & Recreation| Comedy Bites,Comedy Bites,10:01,9348,167,498523,330,2021-06-16T16:30:01Z,2,0.9824487651077246,26,21,10.017
Jerry's Perfect Life (and Wife!) | Parks & Recreation | Comedy Bites,Comedy Bites,10:43,12384,100,726654,722,2021-03-24T17:30:04Z,0,0.9919897468760013,7,22,10.717
Top 10 Improvised Lines from Parks & Recreation| Comedy Bites,Comedy Bites,10:01,9348,167,498523,330,2021-06-16T16:30:01Z,1,0.9824487651077246,20,22,10.017
Best Of The Shoeshine Stand - Parks and Recreation,Parks and Recreation,10:04,15043,234,1207167,421,2019-07-03T15:45:00Z,0,0.9846828565817897,6,23,10.067
