Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,0,0.9864580198615709,0,1,5.817
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,0,0.9714805825242718,1,1,10.017
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,0,0.9729255085613933,2,1,10.05
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,0,0.9729811595080875,3,1,5.633
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447930,322,2020-10-09T15:00:01Z,0,0.9741554365885177,4,1,5.3
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,0,0.9732954545454545,5,1,5.717
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,0,0.9906832298136646,6,1,1.883
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,0,0.9691414604338527,7,1,5.917
Jack And Liz At The Doctor's - 30 Rock,30 Rock Official,01:49,1698,20,230637,50,2017-08-10T15:00:04Z,0,0.9883585564610011,8,1,1.817
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57360,36,2021-05-18T16:30:08Z,0,0.9829172141918529,9,1,9.267
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,0,0.9777777777777777,10,1,4.217
Best Of: Good GOD! | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,1,0.9864580198615709,11,1,5.817
Jack Donaghy's Life Lessons | 30 Rock,30 Rock Official,08:23,779,8,62100,55,2021-06-15T16:30:05Z,1,0.9898348157560356,12,1,8.383
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,1,0.9706286499484713,13,1,9.783
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,1,0.9732954545454545,14,1,5.717
Kenneth is IMMORTAL | Kenneth's Immortality on '30 Rock' | 30 Rock,30 Rock Official,09:10,5280,78,333093,293,2020-10-19T16:00:30Z,1,0.9854423292273237,15,1,9.167
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,1,0.9729811595080875,16,1,5.633
