Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57360,36,2021-05-18T16:30:08Z,0,0.9829172141918529,9,1,9.267
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,1,0.9706286499484713,13,1,9.783
The Best Of Subhas Ramsaywack | 30 Rock,30 Rock Official,10:07,136,3,7491,23,2021-07-26T15:00:16Z,0,0.9784172661870504,10,2,10.117
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,1,0.9729811595080875,15,2,5.633
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,2,0.9732954545454545,22,2,5.717
The Best of Tracy Jordan and Denise Richards - 30 Rock,30 Rock Official,03:24,961,18,84313,118,2019-12-12T14:00:05Z,3,0.9816138917262512,34,2,3.4
Jack Donaghy's Porn for Women - 30 Rock,30 Rock Official,03:21,1449,34,159515,64,2020-02-08T14:00:12Z,4,0.9770734996628456,45,2,3.35
Best Of Jack Donaghy VS Kaylie Hooper (ft. Chloe Grace Moretz) | 30 Rock,30 Rock Official,10:00,1230,30,111344,119,2021-06-02T16:30:02Z,5,0.9761904761904762,60,2,10.0
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,6,0.9714805825242718,63,2,10.017
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719024,349,2020-04-02T16:00:31Z,7,0.9850275807722616,80,2,4.467
Negotiating with Jack Donaghy,Michael H,05:01,4750,125,812312,333,2012-03-20T09:53:27Z,8,0.9743589743589743,84,2,5.017
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,0,0.9906832298136646,5,3,1.883
Flu Shot Rationing - 30 Rock,30 Rock Official,02:54,414,5,32205,29,2020-01-11T14:00:06Z,1,0.9880668257756563,15,3,2.9
"''If Women Are So Funny, Do Something Funny Right Now.'' | 30 Rock",30 Rock Official,04:21,653,18,55197,100,2021-02-04T16:00:10Z,2,0.9731743666169895,29,3,4.35
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918992,683,2018-01-05T17:30:01Z,3,0.979438362684436,37,3,8.917
Kenneth Takes the Midnight Train to Georgia - 30 Rock,30 Rock Official,03:19,2470,31,165706,162,2020-04-23T21:35:10Z,4,0.9876049580167933,44,3,3.317
Seeing The World Through Kenneth and Tracy's Eyes - 30 Rock,30 Rock Official,01:57,3058,23,236290,126,2019-01-06T17:00:07Z,5,0.9925348912690685,61,3,1.95
Behind the scenes with the muppets on 30 Rock,joycewebster8,03:11,697,10,144889,43,2009-10-04T09:35:31Z,6,0.9858557284299858,65,3,3.183
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,0,0.9732954545454545,10,4,5.717
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,1,0.9669811320754716,18,4,10.017
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,2,0.9729811595080875,25,4,5.633
Conan Forces Jordan Schlansky To Clean His Filthy Office | CONAN on TBS,Team Coco,07:48,193023,2960,21101613,10327,2014-01-10T10:17:20Z,3,0.9848966491991652,41,4,7.8
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,0,0.9729811595080875,3,5,5.633
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,1,0.9777777777777777,11,5,4.217
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,2,0.9714805825242718,22,5,10.017
Kenneth is IMMORTAL | Kenneth's Immortality on '30 Rock' | 30 Rock,30 Rock Official,09:10,5280,78,333100,293,2020-10-19T16:00:30Z,3,0.9854423292273237,33,5,9.167
Jack Admits to Kenneth He Wasn't A Good President | Kenneth's Closing Song | 30 Rock,30 Rock Official,05:14,581,7,43988,45,2020-12-13T20:20:02Z,4,0.9880952380952381,46,5,5.233
Frank's Iconic Hats Slogans | 30 Rock,30 Rock Official,10:07,202,4,20337,18,2020-11-20T16:51:24Z,5,0.9805825242718447,52,5,10.117
Kenneth's Complicated Secret Santa Game | Introducing ''Verdukianism'' Religion | 30 Rock,30 Rock Official,04:39,476,11,33758,35,2020-12-17T15:00:03Z,6,0.9774127310061602,63,5,4.65
Jack Admits to Kenneth He Wasn't A Good President | Kenneth's Closing Song | 30 Rock,30 Rock Official,05:14,581,7,43988,45,2020-12-13T20:20:02Z,7,0.9880952380952381,75,5,5.233
Jack And Keneth Try To Erase An Embarrassing Drunk Phone Message After New Year's Eve | 30 Rock,30 Rock Official,05:47,704,8,51980,56,2020-12-30T15:00:10Z,8,0.9887640449438202,89,5,5.783
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,9,0.9669811320754716,94,5,10.017
30 Rock - Best of Season 4,wwydotu,07:59,1520,70,327849,104,2011-01-29T06:15:15Z,10,0.9559748427672956,102,5,7.983
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,0,0.9777777777777777,10,6,4.217
Jack Plays Colonizers of Malaar - 30 Rock,30 Rock Official,03:09,3548,76,407704,183,2019-10-15T13:00:10Z,1,0.9790286975717439,16,6,3.15
Donaghy's Stress Eating - 30 Rock,30 Rock Official,03:50,2620,56,320412,126,2019-11-16T20:30:00Z,2,0.9790732436472347,23,6,3.833
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,3,0.9777777777777777,34,6,4.217
Liz Lemon's Greatest Love Isn't A Man: IT'S FOOD! | Liz LOVES Food Above Everything Else | 30 Rock,30 Rock Official,08:56,1725,33,131644,140,2020-11-14T15:00:07Z,4,0.9812286689419796,43,6,8.933
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,5,0.9691414604338527,60,6,5.917
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,6,0.9906832298136646,66,6,1.883
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,7,0.9706286499484713,83,6,9.783
